Id,SalePrice
1461,123729.26881743685
1462,154090.360586629
1463,181921.65170041483
1464,182799.43443704318
1465,202457.4453754866
1466,185579.43014278487
1467,169112.51543006673
1468,175795.16013134804
1469,177153.59741153827
1470,125286.70703552158
1471,201317.12412231
1472,90353.99621337978
1473,99862.90734591348
1474,154448.17778882306
1475,138935.40950078247
1476,370240.4824281255
1477,251035.94901157747
1478,292599.1198502742
1479,272658.91318073537
1480,451345.56352656125
1481,311184.3576080864
1482,206139.5912709483
1483,180709.78985959428
1484,173881.4108676327
1485,172728.67446613015
1486,195745.60133530307
1487,328184.2532493034
1488,235417.0260174777
1489,211463.47548733035
1490,202520.00678215013
1491,192926.47112662802
1492,95418.7284211948
1493,177648.42530877786
1494,295683.94263648853
1495,284206.9467425062
1496,222549.01824564714
1497,190092.12264369146
1498,154254.86559903188
1499,151755.06968550856
1500,157902.4160814506
1501,163391.99729663428
1502,169471.28561048146
1503,278910.52290146524
1504,225830.633091892
1505,214293.70816665364
1506,171126.1888236719
1507,226551.42398508958
1508,195592.8075013107
1509,158877.78753159882
1510,148068.13446439078
1511,150502.96353363228
1512,163499.13823423898
1513,146563.37148706708
1514,149528.35480197263
1515,186674.15504268528
1516,159727.12397752938
1517,147602.39558658862
1518,127048.52626884748
1519,217234.50777137934
1520,135514.15270177572
1521,141395.0244339787
1522,160650.0728300966
1523,113991.39402404298
1524,123588.48803094089
1525,126619.63792871048
1526,126358.21144111555
1527,111156.77083590759
1528,124452.10027344283
1529,141520.11399365254
1530,163553.59702553504
1531,133821.3499620683
1532,105928.60043575666
1533,137296.89061267534
1534,117217.35850340386
1535,154445.38262075564
1536,118745.22845455566
1537,86474.9316072189
1538,164864.9738525682
1539,221126.88403782132
1540,112134.63497903134
1541,139714.5059418793
1542,139957.16171667358
1543,189615.22959882623
1544,84082.91946869867
1545,105204.86055325856
1546,125328.36042134635
1547,126361.40101272622
1548,130101.34118267967
1549,114180.83392595297
1550,143362.85545016057
1551,117556.34387794901
1552,151817.99394553844
1553,140266.59977449625
1554,111873.88237401258
1555,171566.37465267384
1556,97679.85936556513
1557,113149.44797688584
1558,88620.75192059892
1559,110467.59083136836
1560,146035.17354789533
1561,127448.25770715674
1562,126025.75978814281
1563,125211.38508702512
1564,165538.14078349693
1565,154418.12007074268
1566,213432.9763968344
1567,83701.82875683824
1568,223513.35054197698
1569,142013.2887767085
1570,134091.98820108673
1571,132157.66177370228
1572,143818.04791594078
1573,227022.3521356913
1574,120407.01434352656
1575,211284.41635389786
1576,212977.73130821445
1577,206362.00079918205
1578,141128.58338279504
1579,143542.34697547005
1580,191853.82969484956
1581,138840.43396994605
1582,128157.83110781072
1583,332943.1871011882
1584,243212.55450697689
1585,139420.83724561895
1586,74502.84225564278
1587,107702.63443129552
1588,152337.00398536216
1589,105324.81705933445
1590,133334.4649444653
1591,104613.07349155578
1592,124183.72505287285
1593,119355.6923802117
1594,127220.99002560132
1595,127413.41982550932
1596,212804.56834581454
1597,158571.5649316508
1598,185791.59934075316
1599,184382.9465097804
1600,191246.68135902617
1601,76470.49733663394
1602,115515.80011410324
1603,98213.4992372753
1604,288737.25391555123
1605,247136.60168120326
1606,166899.50510749556
1607,157713.71531260308
1608,210949.77155198608
1609,199081.95255442653
1610,162587.4773162365
1611,153509.6047719025
1612,175056.15951615918
1613,170949.77092763514
1614,116766.61250034925
1615,87750.9443896884
1616,85729.3615086045
1617,90385.42648994456
1618,126241.22812729378
1619,131722.73463648718
