PassengerId,Age,Fare,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,Title_Military,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Title_Royalty,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,Survived
1,-0.5637066414018197,-0.5031762030204289,2,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2,0.6530998559354815,0.7348086421751847,2,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
3,-0.25950501706749446,-0.4901261217266795,1,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
4,0.4249486376847375,0.38326265226609996,2,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
5,0.4249486376847375,-0.48770944000561484,1,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
6,-0.031353798816750454,-0.47981559083192915,1,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
7,1.8699063532727827,0.3593375032275594,1,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
8,-2.084714763073446,-0.23589120467067404,5,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
9,-0.1834546109839131,-0.4280986020011448,3,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
10,-1.1721098900704703,-0.061971321259844045,2,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
11,-1.9326139509062836,-0.32047506490793826,3,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
12,2.174107977607108,-0.13004054528804052,1,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
13,-0.7158074535689825,-0.48770944000561484,1,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
14,0.7291502620190629,-0.03868997623179524,7,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
15,-1.1721098900704703,-0.4914949302534906,1,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
16,1.945956759356364,-0.3340084825459005,1,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
17,-2.084714763073446,-0.0802569018341079,6,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
18,-0.031353798816750454,-0.39200884385145307,1,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
